"section_id","station_x","elevation_z"
"23","364.526000","37.415000"
"23","372.190000","37.990000"
"23","390.871000","38.030000"
"24","0.000000","37.782000"
"24","2.733000","37.576000"
"24","29.514000","34.017000"
"24","35.253000","32.317000"
"24","45.638000","32.019000"
"24","53.290000","30.365000"
"24","61.215000","28.069000"
"24","69.960000","28.069000"
"24","79.252000","29.010000"
"24","84.991000","30.090000"
"24","101.661000","31.445000"
"24","110.406000","31.973000"
"24","119.151000","32.088000"
"24","138.281000","32.823000"
"24","144.566000","32.777000"
"24","165.181000","35.888000"
"24","190.724000","34.718000"
"24","199.222000","33.121000"
"24","202.502000","31.996000"
"24","208.241000","33.213000"
"24","216.166000","36.175000"
"24","222.998000","38.021000"
"25","4.278000","37.901000"
"25","18.231000","37.816000"
"25","43.646000","37.610000"
"25","48.629000","36.875000"
"25","66.569000","31.019000"
"25","76.037000","27.092000"
"25","90.987000","27.023000"
"25","97.964000","31.019000"
"25","158.122000","31.947000"
"25","232.964000","33.000000"
"25","264.806000","34.454000"
"25","356.739000","36.264000"
"25","394.231000","37.512000"
"25","410.914000","37.512000"
"26","0.000000","37.092000"
"26","10.585000","36.622000"
"26","17.641000","36.645000"
"26","22.131000","37.311000"
"26","61.171000","34.708000"
"26","86.591000","33.000000"
"26","122.746000","32.196000"
"26","190.095000","31.000000"
"26","195.655000","27.965000"
"26","198.542000","27.069000"
"26","215.862000","27.023000"
"26","222.277000","31.042000"
"26","238.635000","33.040000"
"26","254.031000","36.140000"
"26","261.729000","37.742000"
"27","0.000000","37.541000"
"27","10.759000","34.305000"
"27","36.263000","34.242000"
"27","39.052000","34.952000"
"27","43.037000","35.077000"
"27","46.225000","34.326000"
"27","54.992000","34.326000"
"27","77.882000","33.789000"
"27","118.140000","33.000000"
"27","140.984000","32.471000"
"27","161.347000","32.000000"
"27","213.173000","31.000000"
"27","220.366000","28.021000"
"27","245.869000","28.000000"
"27","258.621000","32.008000"
"27","269.380000","30.839000"
"27","290.529000","36.415000"
"27","296.079000","37.624000"
"27","325.169000","37.591000"
"28","0.000000","38.463000"
"28","16.129000","34.666000"
"28","33.089000","32.010000"
"28","45.287000","27.075000"
"28","60.462000","27.025000"
"28","67.305000","28.052000"
"28","71.173000","30.006000"
"28","91.107000","32.612000"
"28","113.039000","32.941000"
"28","160.364000","33.000000"
"28","178.879000","32.987000"
"28","195.541000","31.985000"
"28","227.972000","37.923000"
"28","242.551000","37.901000"
"29","2.464000","37.868000"
"29","11.374000","37.756000"
"29","23.491000","33.413000"
"29","28.480000","33.088000"
"29","79.932000","34.229000"
"29","87.997000","34.200000"
"29","149.559000","33.101000"
"29","177.357000","32.151000"
"29","212.732000","31.459000"
"29","226.988000","30.998000"
"29","245.164000","25.081000"
"29","247.302000","25.081000"
"29","251.222000","26.547000"
"29","256.925000","31.025000"
"29","271.180000","32.192000"
"29","284.010000","35.259000"
"29","288.287000","36.914000"
"29","293.276000","36.931000"
"30","0.000000","37.228000"
"30","14.874000","36.372000"
"30","25.120000","35.846000"
"30","34.705000","35.770000"
"30","53.214000","32.063000"
"30","62.139000","30.885000"
"30","79.326000","26.752000"
"30","85.606000","27.002000"
"30","98.496000","31.812000"
"30","131.099000","32.410000"
"30","170.991000","33.000000"
"30","194.679000","33.215000"
"30","212.197000","33.240000"
"30","235.003000","37.624000"
"30","269.708000","37.499000"
"31","0.000000","37.791000"
"31","15.294000","37.582000"
"31","71.401000","34.731000"
"31","109.899000","33.036000"
"31","146.147000","31.967000"
"31","161.017000","31.946000"
"31","195.215000","31.273000"
"31","203.926000","31.006000"
"31","217.097000","29.002000"
"31","225.594000","28.084000"
"31","239.189000","28.084000"
"31","245.986000","29.754000"
"31","253.634000","31.027000"
"31","274.876000","32.342000"
"31","288.471000","33.136000"
"31","328.312000","36.814000"
"31","346.675000","37.512000"
"32","0.231000","37.925000"
"32","8.814000","36.768000"
"32","29.236000","34.889000"
"32","34.859000","33.031000"
"32","46.698000","30.923000"
"32","55.577000","28.104000"
"32","79.521000","28.000000"
"32","97.604000","30.985000"
"32","114.178000","31.800000"
"32","147.699000","32.935000"
"32","152.949000","33.094000"
"32","180.592000","32.751000"
